Device Name,lsawade
Device Model,Kestrel D3 FIRE
Serial Number,2525187
FORMATTED DATE-TIME,Temperature,Relative Humidity,Heat Stress Index,Dew Point,Wet Bulb Temperature,Station Pressure
YYYY-MM-DD HH:MM:SS,°C,%,°C,°C,°C,mb
2020-08-30 16:40:00,27.7,57.8,28.9,18.6,21.5,1003.8
2020-08-30 16:50:00,27.5,46.3,27.1,14.9,19.2,1002.5
2020-08-30 17:00:00,28.7,37.4,27.8,12.7,18.4,1000.1
2020-08-30 17:10:00,29.6,31.5,28.3,10.9,17.9,1000.5
2020-08-30 17:20:00,30.1,31.1,28.9,11.2,18.2,1000.5
2020-08-30 17:30:00,29.8,31.6,28.5,11.1,18.0,1001.0
2020-08-30 17:40:00,29.9,32.0,28.7,11.4,18.2,1002.4
2020-08-30 17:50:00,29.4,34.2,28.5,12.0,18.4,1001.0
2020-08-30 18:00:00,30.2,31.6,29.1,11.5,18.4,1001.1
2020-08-30 18:10:00,30.5,30.9,29.4,11.4,18.4,1001.3
2020-08-30 18:20:00,29.6,32.9,28.5,11.6,18.2,1001.5
2020-08-30 18:30:00,30.7,31.8,29.8,12.0,18.7,1001.6
2020-08-30 18:40:00,30.0,33.0,29.0,11.9,18.5,1001.9
2020-08-30 18:50:00,29.2,34.7,28.3,12.0,18.3,1002.0
2020-08-30 19:00:00,28.4,36.0,27.2,11.8,17.9,1002.3
2020-08-30 19:10:00,27.7,36.7,26.5,11.6,17.6,1002.6
2020-08-30 19:20:00,27.1,38.7,26.1,11.9,17.5,1003.2
2020-08-30 19:30:00,24.9,43.8,23.9,11.8,16.7,1003.8
2020-08-30 19:40:00,23.8,47.5,23.0,11.9,16.4,1003.9
2020-08-30 19:50:00,23.1,50.8,22.6,12.4,16.4,1004.1
2020-08-30 20:00:00,22.8,52.4,22.4,12.6,16.4,1004.2
2020-08-30 20:10:00,22.6,52.9,22.2,12.5,16.3,1004.5
2020-08-30 20:20:00,22.6,53.2,22.2,12.6,16.4,1004.6
2020-08-30 20:30:00,22.5,53.9,22.1,12.7,16.4,1004.7
2020-08-30 20:40:00,22.2,54.7,21.8,12.6,16.2,1004.6
2020-08-30 20:50:00,21.8,56.2,21.5,12.7,16.1,1004.8
2020-08-30 21:00:00,21.6,57.0,21.4,12.7,16.1,1005.0
2020-08-30 21:10:00,21.4,57.4,21.1,12.6,15.9,1005.0
2020-08-30 21:20:00,21.1,58.0,20.7,12.5,15.8,1005.3
2020-08-30 21:30:00,21.1,58.1,20.7,12.5,15.8,1005.3
2020-08-30 21:40:00,20.8,58.6,20.5,12.4,15.6,1005.6
2020-08-30 21:50:00,20.8,58.8,20.5,12.5,15.7,1005.7
2020-08-30 22:00:00,20.8,58.3,20.5,12.3,15.6,1005.8
2020-08-30 22:10:00,20.6,58.7,20.0,12.2,15.4,1006.2
2020-08-30 22:20:00,20.6,58.4,20.0,12.2,15.4,1006.3
2020-08-30 22:30:00,20.4,59.2,19.9,12.2,15.4,1006.5
2020-08-30 22:40:00,20.4,58.8,19.9,12.1,15.3,1006.7
2020-08-30 22:50:00,20.4,59.2,19.8,12.2,15.3,1006.7
2020-08-30 23:00:00,20.0,61.6,19.3,12.4,15.3,1006.5
2020-08-30 23:10:00,20.0,61.4,19.3,12.3,15.2,1006.6
2020-08-30 23:20:00,19.8,61.7,19.2,12.2,15.2,1006.9
2020-08-30 23:30:00,19.8,61.3,19.2,12.2,15.1,1006.9
2020-08-30 23:40:00,19.7,62.1,18.9,12.2,15.1,1007.0
2020-08-30 23:50:00,19.5,62.9,18.8,12.3,15.1,1007.1
2020-08-31 00:00:00,19.3,64.1,18.5,12.4,15.0,1007.4
2020-08-31 00:10:00,19.2,64.2,18.4,12.3,14.9,1007.5
2020-08-31 00:20:00,19.0,65.1,18.2,12.4,15.0,1007.4
2020-08-31 00:30:00,19.0,65.4,18.1,12.3,14.9,1007.4
2020-08-31 00:40:00,18.8,65.5,17.9,12.2,14.8,1007.5
2020-08-31 00:50:00,18.9,64.9,17.9,12.1,14.8,1007.5
2020-08-31 01:00:00,18.7,65.2,17.8,12.0,14.7,1007.6
2020-08-31 01:10:00,18.6,65.4,17.7,12.0,14.6,1007.8
